procs,N,execution_time,num_of_unique
40, 216, 0.059945, 12748
40, 217, 0.060969, 12866
40, 218, 0.059842, 12976
40, 219, 0.054988, 13087
40, 220, 0.056869, 13159
40, 221, 0.056837, 13293
40, 222, 0.054843, 13376
40, 223, 0.057448, 13599
40, 224, 0.056673, 13670
40, 225, 0.072914, 13750
40, 226, 0.078091, 13864
40, 227, 0.060117, 14091
40, 228, 0.053467, 14159
40, 229, 0.056552, 14388
40, 230, 0.056731, 14473
40, 231, 0.056482, 14560
40, 232, 0.078324, 14647
40, 233, 0.056544, 14880
40, 234, 0.063129, 14952
40, 235, 0.057074, 15076
40, 236, 0.056205, 15176
40, 237, 0.054520, 15296
40, 238, 0.054679, 15384
40, 239, 0.056296, 15623
40, 240, 0.056220, 15682
40, 241, 0.057363, 15923
40, 242, 0.056120, 16023
40, 243, 0.054708, 16128
40, 244, 0.058390, 16231
40, 245, 0.057614, 16342
40, 246, 0.055803, 16434
40, 247, 0.055487, 16579
40, 248, 0.055873, 16671
40, 249, 0.057757, 16797
40, 250, 0.056094, 16889
40, 251, 0.057425, 17140
40, 252, 0.056309, 17205
40, 253, 0.056410, 17349
40, 254, 0.056234, 17477
40, 255, 0.053137, 17577
40, 256, 0.056502, 17668
40, 257, 0.055578, 17925
40, 258, 0.056107, 18022
40, 259, 0.056284, 18164
40, 260, 0.055949, 18246
40, 261, 0.057441, 18357
40, 262, 0.057217, 18489
40, 263, 0.055412, 18752
40, 264, 0.058975, 18823
40, 265, 0.057143, 18963
40, 266, 0.055990, 19060
40, 267, 0.057026, 19195
40, 268, 0.057067, 19308
40, 269, 0.057709, 19577
40, 270, 0.056318, 19649
40, 271, 0.056606, 19920
40, 272, 0.060051, 20015
40, 273, 0.056255, 20118
40, 274, 0.056080, 20256
40, 275, 0.053322, 20377
40, 276, 0.054826, 20462
40, 277, 0.057092, 20739
40, 278, 0.057642, 20879
40, 279, 0.055865, 20998
40, 280, 0.057433, 21075
40, 281, 0.058209, 21356
40, 282, 0.057034, 21461
40, 283, 0.052339, 21744
40, 284, 0.056079, 21864
40, 285, 0.055284, 21975
40, 286, 0.057095, 22081
40, 287, 0.054637, 22237
40, 288, 0.056712, 22311
40, 289, 0.052833, 22503
40, 290, 0.055559, 22610
40, 291, 0.063362, 22757
40, 292, 0.068769, 22880
40, 293, 0.055321, 23173
40, 294, 0.058098, 23267
40, 295, 0.059833, 23422
40, 296, 0.072218, 23532
40, 297, 0.055115, 23647
40, 298, 0.069304, 23797
40, 299, 0.060959, 23972
40, 300, 0.055714, 24047
40, 301, 0.057074, 24210
40, 302, 0.059000, 24362
40, 303, 0.055887, 24515
40, 304, 0.055360, 24617
40, 305, 0.060249, 24777
40, 306, 0.057091, 24871
40, 307, 0.053664, 25178
40, 308, 0.057035, 25273
40, 309, 0.056009, 25429
40, 310, 0.056733, 25541
40, 311, 0.054949, 25852
40, 312, 0.056990, 25940
40, 313, 0.060805, 26253
40, 314, 0.055670, 26411
40, 315, 0.057191, 26510
40, 316, 0.056548, 26643
40, 317, 0.055136, 26960
40, 318, 0.057374, 27079
40, 319, 0.054888, 27261
40, 320, 0.060747, 27354
40, 321, 0.055548, 27516
40, 322, 0.057592, 27631
40, 323, 0.056798, 27834
40, 324, 0.054767, 27921
40, 325, 0.057573, 28065
40, 326, 0.056917, 28229
40, 327, 0.055264, 28394
40, 328, 0.056859, 28515
40, 329, 0.055386, 28692
40, 330, 0.056281, 28782
40, 331, 0.055455, 29113
40, 332, 0.060338, 29253
40, 333, 0.055621, 29394
40, 334, 0.055163, 29562
40, 335, 0.054902, 29737
40, 336, 0.055877, 29821
40, 337, 0.059769, 30158
40, 338, 0.059878, 30296
40, 339, 0.054894, 30467
40, 340, 0.056947, 30571
40, 341, 0.055234, 30764
40, 342, 0.059034, 30872
40, 343, 0.056326, 31056
40, 344, 0.057337, 31183
40, 345, 0.057062, 31312
40, 346, 0.055945, 31486
40, 347, 0.054839, 31833
40, 348, 0.059293, 31939
40, 349, 0.058153, 32288
40, 350, 0.056620, 32392
40, 351, 0.057088, 32521
40, 352, 0.058089, 32630
40, 353, 0.055500, 32983
40, 354, 0.058549, 33115
40, 355, 0.056611, 33301
40, 356, 0.059894, 33451
40, 357, 0.064668, 33581
40, 358, 0.079452, 33761
40, 359, 0.063673, 34120
40, 360, 0.058458, 34201
40, 361, 0.062370, 34439
40, 362, 0.055160, 34621
40, 363, 0.078642, 34774
40, 364, 0.059385, 34891
40, 365, 0.061460, 35082
40, 366, 0.054634, 35218
40, 367, 0.055127, 35585
40, 368, 0.055505, 35709
40, 369, 0.055181, 35865
40, 370, 0.059291, 36000
40, 371, 0.052214, 36198
40, 372, 0.061163, 36311
40, 373, 0.054988, 36684
40, 374, 0.052895, 36817
40, 375, 0.059738, 36959
40, 376, 0.052775, 37096
40, 377, 0.055455, 37315
40, 378, 0.055361, 37420
40, 379, 0.054257, 37799
40, 380, 0.056010, 37919
40, 381, 0.052555, 38111
40, 382, 0.057226, 38303
40, 383, 0.056310, 38686
40, 384, 0.056582, 38791
40, 385, 0.054325, 38945
40, 386, 0.054421, 39139
40, 387, 0.054696, 39303
40, 388, 0.055373, 39466
40, 389, 0.053305, 39855
40, 390, 0.056909, 39957
40, 391, 0.058665, 40193
40, 392, 0.058696, 40312
40, 393, 0.059939, 40510
40, 394, 0.059500, 40708
40, 395, 0.057133, 40914
40, 396, 0.058664, 41013
40, 397, 0.055336, 41410
40, 398, 0.052477, 41610
40, 399, 0.055142, 41761
40, 400, 0.055218, 41872
40, 401, 0.055426, 42273
40, 402, 0.057992, 42422
40, 403, 0.052502, 42653
40, 404, 0.055890, 42823
40, 405, 0.054422, 42962
40, 406, 0.055308, 43108
40, 407, 0.055019, 43339
40, 408, 0.052466, 43448
40, 409, 0.055216, 43857
40, 410, 0.052338, 44007
40, 411, 0.056410, 44214
40, 412, 0.055415, 44387
40, 413, 0.059336, 44609
40, 414, 0.056575, 44737
40, 415, 0.053128, 44954
40, 416, 0.057748, 45082
40, 417, 0.056015, 45292
40, 418, 0.056046, 45443
40, 419, 0.056886, 45862
40, 420, 0.055927, 45957
40, 421, 0.055562, 46378
40, 422, 0.078686, 46590
40, 423, 0.068417, 46768
40, 424, 0.062090, 46923
40, 425, 0.058693, 47108
40, 426, 0.059786, 47266
40, 427, 0.055904, 47495
